source,title,make,model,year,mileage,price,location
Jiji,Nissan X-Trail,Nissan,X-Trail,2014,136000,2050000.0,"Nairobi, Karen"
Jiji,Nissan Teana,Nissan,Teana,2014,85000,1380000.0,"Nairobi, Kilimani"
Jiji,Nissan Teana,Nissan,Teana,2013,90231,995000.0,"Nairobi, Ridgeways"
Jiji,Nissan X-Trail,Nissan,X-Trail,2014,52000,2500000.0,"Nairobi, Jamhuri"
Jiji,Nissan Note,Nissan,Note,2014,,1100000.0,"Mombasa, Mombasa CBD"
Jiji,Nissan Teana,Nissan,Teana,2014,,1150000.0,"Nairobi, Nairobi Central"
Jiji,Nissan Qashqai,Nissan,Qashqai,2014,115000,1950000.0,"Nairobi, Ridgeways"
Jiji,Nissan Note,Nissan,Note,2015,62863,1050000.0,"Mombasa, Mombasa CBD"
Jiji,Nissan X-Trail,Nissan,X-Trail,2014,,1900000.0,"Mombasa, Mombasa CBD"
Jiji,Nissan Note,Nissan,Note,2014,66000,780000.0,"Mombasa, Mvita"
Jiji,Nissan Navara,Nissan,Navara,2014,88000,2800000.0,"Mombasa, Mombasa CBD"
Jiji,Nissan Note,Nissan,Note,2014,,1100000.0,"Mombasa, Mombasa CBD"
Jiji,Nissan March,Nissan,March,2014,75000,655000.0,"Nairobi, Kilimani"
Jiji,Nissan Qashqai,Nissan,Qashqai,2015,,2550000.0,"Nairobi, Kilimani"
Jiji,Nissan Qashqai,Nissan,Qashqai,2015,,2550000.0,"Nairobi, Kilimani"
Jiji,Nissan Skyline,Nissan,Skyline,2014,107000,1800000.0,"Mombasa, Mombasa CBD"
Jiji,Nissan Elgrand,Nissan,Elgrand,2015,99568,1945000.0,"Mombasa, Mombasa CBD"
Jiji,Nissan Fuga,Nissan,Fuga,2014,66000,1700000.0,"Mombasa, Mvita"
Jiji,Nissan Lafesta,Nissan,Lafesta,2013,52000,840000.0,"Mombasa, Mvita"
Jiji,Nissan X-Trail,Nissan,X-Trail,2014,165000,1850000.0,"Mombasa, Kizingo / Mombasa"
Jiji,Nissan Elgrand,Nissan,Elgrand,2014,76000,2100000.0,"Nairobi, Lavington"
Jiji,Nissan Fuga,Nissan,Fuga,2014,39000,2000000.0,"Nairobi, Nairobi Central"
Jiji,Nissan Teana,Nissan,Teana,2014,,1150000.0,"Nairobi, Nairobi Central"
Jiji,Nissan Sylphy,Nissan,Sylphy,2013,62111,1200000.0,"Nairobi, Nairobi Central"
Jiji,Nissan Juke,Nissan,Juke,2015,99542,1380000.0,"Mombasa, Mvita"
Jiji,Nissan Teana,Nissan,Teana,2014,,1150000.0,"Nairobi, Nairobi Central"
Jiji,Nissan Qashqai,Nissan,Qashqai,2014,89754,1899000.0,"Nairobi, Kilimani"
Jiji,Nissan Teana,Nissan,Teana,2014,,1150000.0,"Nairobi, Nairobi Central"
Jiji,Nissan Teana,Nissan,Teana,2014,112758,1380000.0,"Nairobi, Kilimani"
Jiji,Nissan Teana,Nissan,Teana,2014,81960,1400000.0,"Mombasa, Mombasa CBD"
Jiji,Nissan Skyline,Nissan,Skyline,2014,65324,1450000.0,"Mombasa, Tudor"
Jiji,Nissan Skyline,Nissan,Skyline,2014,170000,2490000.0,"Nairobi, Kilimani"
Jiji,Nissan Teana,Nissan,Teana,2014,112758,1380000.0,"Nairobi, Kilimani"
Jiji,Nissan Latio,Nissan,Latio,2014,63000,830000.0,"Nairobi, Kilimani"
Jiji,Nissan Elgrand,Nissan,Elgrand,2015,106818,1870000.0,"Mombasa, Mombasa CBD"
Jiji,Nissan Dayz,Nissan,Dayz,2014,89652,600000.0,"Mombasa, Mombasa CBD"
Jiji,Nissan Note,Nissan,Note,2014,,1100000.0,"Mombasa, Mombasa CBD"
Jiji,Nissan Note,Nissan,Note,2014,119000,880000.0,"Nairobi, Kilimani"
Jiji,Nissan Tiida,Nissan,Tiida,2014,,905000.0,"Mombasa, Mombasa CBD"
Jiji,Nissan Elgrand,Nissan,Elgrand,2013,76320,1600000.0,"Mombasa, Mvita"
Jiji,Nissan Latio,Nissan,Latio,2014,63000,830000.0,"Nairobi, Kilimani"
Jiji,Nissan Fuga,Nissan,Fuga,2015,82688,1700000.0,"Mombasa, Mombasa CBD"
Jiji,Nissan Moco,Nissan,Moco,2014,124000,510000.0,"Nairobi, Kilimani"
Jiji,Nissan Note,Nissan,Note,2015,58855,790000.0,"Mombasa, Mombasa CBD"
Jiji,Nissan Note,Nissan,Note,2014,63,770000.0,"Mombasa, Mvita"
Jiji,Nissan Elgrand,Nissan,Elgrand,2014,76466,2450000.0,"Nairobi, Lavington"
Jiji,Nissan Note,Nissan,Note,2014,56000,900000.0,"Mombasa, Mombasa CBD"
Jiji,Nissan Latio,Nissan,Latio,2013,102568,800000.0,"Mombasa, Mvita"
Jiji,Nissan Nv3500,Nissan,Nv3500,2014,145000,1200000.0,"Nairobi, Nairobi Central"
Jiji,Nissan Note,Nissan,Note,2014,56000,850000.0,"Mombasa, Mvita"
Jiji,Nissan Note,Nissan,Note,2014,63,770000.0,"Mombasa, Mvita"
Jiji,Nissan Note,Nissan,Note,2014,88000,800000.0,"Mombasa, Mvita"
Jiji,Nissan Pick-Up,Nissan,Pick-Up,1978,254285,250000.0,"Kiambu, Kiambu / Kiambu"
Jiji,Nissan Note,Nissan,Note,2014,,860000.0,"Nairobi, Muthaiga"
Jiji,Nissan Latio,Nissan,Latio,2014,68123,850000.0,"Mombasa, Mombasa CBD"
Jiji,Nissan Fuga,Nissan,Fuga,2012,65412,1300000.0,"Mombasa, Tudor"
Jiji,Nissan Serena,Nissan,Serena,2014,,1330000.0,"Nairobi, Kilimani"
Jiji,Nissan March,Nissan,March,2014,,650000.0,"Nairobi, Kilimani"
Jiji,Nissan Fuga,Nissan,Fuga,2014,65000,1550000.0,"Mombasa, Mvita"
Jiji,Nissan Skyline,Nissan,Skyline,2014,133000,1600000.0,"Mombasa, Mombasa CBD"
Jiji,Nissan Teana,Nissan,Teana,2015,91280,1400000.0,"Mombasa, Mombasa CBD"
Jiji,Nissan X-Trail,Nissan,X-Trail,2014,30000,2200000.0,"Mombasa, Mombasa CBD"
Jiji,Nissan Note,Nissan,Note,2013,69000,730000.0,"Mombasa, Mvita"
Jiji,Nissan Latio,Nissan,Latio,2014,78000,800000.0,"Nairobi, Kilimani"
Jiji,Nissan Teana,Nissan,Teana,2014,111000,1280000.0,"Nairobi, Nairobi Central"
Jiji,Nissan Advan,Nissan,Advan,2014,,610000.0,"Mombasa, Mombasa CBD"
Jiji,Nissan Lafesta,Nissan,Lafesta,2014,74214,1080000.0,"Mombasa, Mvita"
Jiji,Nissan Note,Nissan,Note,2014,47523,750000.0,"Mombasa, Mombasa CBD"
Jiji,Nissan March,Nissan,March,2014,,650000.0,"Nairobi, Kilimani"
